step,initial_population,mean_ini_sugar,mean_ini_vision,mean_ini_metabolism,rate_survive,avg_sugar,dev_sugar,rate_increasable
29,420,15.59047619,5.657142857,2.504761905,0.733333333,50.29220779,33.42674919,0.642857143
29,148,14.77702703,5.864864865,2.452702703,0.756756757,54.25,33.4223586,0.732142857
29,211,15.51184834,5.706161137,2.440758294,0.772511848,53.0797546,33.42080774,0.687116564
29,206,14.86893204,5.436893204,2.485436893,0.757281553,51.97435897,33.40831434,0.692307692
28,245,14.1755102,5.546938776,2.448979592,0.755102041,52.32972973,33.40698366,0.724324324
29,323,15.41176471,5.647058824,2.442724458,0.72755418,51.7106383,33.40571138,0.680851064
29,384,15.43489583,5.549479167,2.510416667,0.721354167,50.6967509,33.40238466,0.664259928
29,358,15.69553073,5.463687151,2.477653631,0.717877095,51.33463035,33.39519648,0.638132296
29,262,16.22900763,5.43129771,2.396946565,0.740458015,53.51030928,33.38676473,0.675257732
29,548,15.52554745,5.302919708,2.465328467,0.71350365,48.94629156,33.38446868,0.636828645
29,228,15.87280702,5.372807018,2.50877193,0.723684211,50.54545455,33.38311508,0.642424242
29,219,15.05479452,5.716894977,2.611872146,0.703196347,49.57142857,33.37386891,0.616883117
29,299,15.23411371,5.588628763,2.491638796,0.772575251,48.38961039,33.36770992,0.623376623
29,188,16.13829787,5.595744681,2.462765957,0.755319149,54.28169014,33.36715296,0.697183099
29,319,16.22257053,5.564263323,2.44200627,0.746081505,52.43277311,33.36465349,0.68487395
29,150,15.84666667,5.486666667,2.513333333,0.76,53.05263158,33.36360216,0.692982456
29,318,15.03459119,5.449685535,2.544025157,0.704402516,52.17410714,33.36267683,0.691964286
29,150,14.31333333,5.306666667,2.546666667,0.726666667,49.95412844,33.36231666,0.660550459
28,159,15.59119497,5.201257862,2.213836478,0.811320755,50.75193798,33.36072518,0.651162791
28,247,14.68825911,5.449392713,2.340080972,0.75708502,51.4171123,33.35693776,0.673796791
29,203,16.1182266,5.206896552,2.251231527,0.793103448,56.06832298,33.35493296,0.720496894
29,360,15.37777778,5.430555556,2.516666667,0.716666667,50.65891473,33.34701315,0.658914729
28,125,16.04,5.216,2.536,0.68,53.63529412,33.34518137,0.682352941
29,215,15.73488372,5.693023256,2.427906977,0.809302326,50.96551724,33.34491261,0.66091954
29,222,14.66666667,5.333333333,2.522522523,0.707207207,51.59872611,33.3447147,0.681528662
