initial_population,ini_metabolism,ini_vision,ini_sugar,step,rate_survive,avg_sugar,dev_sugar,rate_increasable
400,2,1,5,31,0.7125,27.60701754,16.18989273,0.70877193
400,2,1,5,31,0.6525,28.01915709,15.73786519,0.747126437
400,1,10,30,26,1,67.065,3.106428777,1
400,2,1,10,36,0.725,35.86551724,17.8463022,0.762068966
400,2,1,10,36,0.655,36.89694656,18.4349553,0.755725191
400,2,1,10,36,0.675,36.62962963,18.57937488,0.751851852
400,1,10,25,26,1,61.9975,2.803058435,1
400,1,10,30,26,1,67.1825,3.072098342,1
400,2,1,15,41,0.6825,45.49450549,19.48266969,0.78021978
400,2,1,15,41,0.7175,44.30662021,19.41243721,0.735191638
400,2,1,10,36,0.6975,35.29390681,18.80455131,0.749103943
400,2,1,15,41,0.69,44.15217391,20.78754948,0.72826087
400,2,1,15,41,0.655,46.14122137,21.02851328,0.77480916
400,1,10,30,26,1,66.925,3.005321096,1
400,2,1,15,41,0.665,45.42481203,20.43387829,0.751879699
400,2,1,20,46,0.6675,54.40449438,22.06128806,0.771535581
400,2,1,20,46,0.645,55.39922481,22.5281389,0.771317829
400,2,1,20,46,0.655,55.1221374,23.7785192,0.740458015
400,2,1,10,36,0.695,35.69064748,19.24020644,0.726618705
400,2,1,25,51,0.67,63.08955224,23.64847516,0.76119403
400,2,1,20,46,0.6925,52.63176895,22.01090313,0.78700361
400,2,1,25,51,0.7025,60.66548043,24.12930607,0.775800712
400,2,1,25,51,0.6825,61.92307692,23.85274869,0.776556777
400,2,1,25,51,0.6825,62.27838828,23.31677969,0.754578755
400,2,1,20,46,0.72,51.93055556,21.08689597,0.770833333
400,2,1,30,56,0.695,70.23381295,25.25264415,0.769784173
400,2,1,30,56,0.6875,71,25.47820021,0.778181818
400,2,2,5,31,0.7625,28.74754098,14.64037773,0.8
400,2,1,30,56,0.6775,71.17712177,25.19916946,0.778597786
400,2,1,30,56,0.7175,69.58536585,25.2497773,0.766550523
400,2,2,5,31,0.7625,28.76393443,13.81158496,0.819672131
400,2,2,5,31,0.7525,28.86710963,12.86554629,0.813953488
400,2,1,25,51,0.6675,63.26966292,24.06652624,0.779026217
400,2,2,5,31,0.7275,29.86941581,13.70565423,0.828178694
400,2,2,5,31,0.745,29.41946309,13.75036787,0.82885906
400,2,2,10,36,0.7525,37.95681063,15.01648411,0.833887043
400,2,2,10,36,0.7225,38.98961938,15.49338668,0.84083045
400,2,1,30,56,0.6775,71.8597786,25.29446372,0.782287823
400,2,2,10,36,0.7625,37.15409836,14.92720906,0.819672131
